Time,X(CH1),
Second,Volt,
-1.6384000e-02,4.40000e-01,
-1.6381999e-02,4.40000e-01,
-1.6379999e-02,4.40000e-01,
-1.6377999e-02,4.40000e-01,
-1.6375998e-02,4.40000e-01,
-1.6373998e-02,4.40000e-01,
-1.6371997e-02,4.40000e-01,
-1.6369997e-02,4.40000e-01,
-1.6367996e-02,4.40000e-01,
-1.6365996e-02,4.40000e-01,
-1.6363995e-02,4.40000e-01,
-1.6361995e-02,4.40000e-01,
-1.6359994e-02,4.40000e-01,
-1.6357994e-02,4.40000e-01,
-1.6355993e-02,4.40000e-01,
-1.6353993e-02,4.40000e-01,
-1.6351992e-02,4.40000e-01,
-1.6349992e-02,4.40000e-01,
-1.6347991e-02,4.40000e-01,
-1.6345991e-02,4.40000e-01,
-1.6343990e-02,4.40000e-01,
-1.6341990e-02,4.40000e-01,
-1.6339989e-02,4.40000e-01,
-1.6337989e-02,4.40000e-01,
-1.6335988e-02,4.40000e-01,
-1.6333988e-02,4.40000e-01,
-1.6331987e-02,4.40000e-01,
-1.6329987e-02,4.40000e-01,
-1.6327986e-02,4.40000e-01,
-1.6325986e-02,4.40000e-01,
-1.6323986e-02,4.40000e-01,
-1.6321985e-02,4.40000e-01,
-1.6319985e-02,4.40000e-01,
-1.6317984e-02,4.40000e-01,
-1.6315984e-02,4.40000e-01,
-1.6313983e-02,4.40000e-01,
-1.6311983e-02,4.40000e-01,
-1.6309982e-02,4.60000e-01,
-1.6307982e-02,4.40000e-01,
-1.6305981e-02,4.60000e-01,
-1.6303981e-02,4.60000e-01,
-1.6301980e-02,4.40000e-01,
-1.6299980e-02,4.40000e-01,
-1.6297979e-02,4.60000e-01,
-1.6295979e-02,4.40000e-01,
-1.6293978e-02,4.40000e-01,
-1.6291978e-02,4.40000e-01,
-1.6289977e-02,4.60000e-01,
-1.6287977e-02,4.40000e-01,
-1.6285976e-02,4.60000e-01,
-1.6283976e-02,4.40000e-01,
-1.6281975e-02,4.40000e-01,
-1.6279975e-02,4.40000e-01,
-1.6277974e-02,4.60000e-01,
-1.6275974e-02,4.20000e-01,
-1.6273974e-02,4.40000e-01,
-1.6271973e-02,4.60000e-01,
-1.6269973e-02,4.40000e-01,
-1.6267972e-02,4.60000e-01,
-1.6265972e-02,4.40000e-01,
-1.6263971e-02,4.40000e-01,
-1.6261971e-02,4.40000e-01,
-1.6259970e-02,4.40000e-01,
-1.6257970e-02,4.60000e-01,
-1.6255969e-02,4.40000e-01,
-1.6253969e-02,4.40000e-01,
-1.6251968e-02,4.40000e-01,
-1.6249968e-02,4.40000e-01,
-1.6247967e-02,4.40000e-01,
-1.6245967e-02,4.40000e-01,
-1.6243966e-02,4.40000e-01,
-1.6241966e-02,4.40000e-01,
-1.6239965e-02,4.40000e-01,
-1.6237965e-02,4.60000e-01,
-1.6235964e-02,4.40000e-01,
-1.6233964e-02,4.60000e-01,
-1.6231963e-02,4.40000e-01,
-1.6229963e-02,4.60000e-01,
-1.6227962e-02,4.40000e-01,
-1.6225962e-02,4.60000e-01,
-1.6223961e-02,4.60000e-01,
-1.6221961e-02,4.60000e-01,
-1.6219961e-02,4.40000e-01,
-1.6217960e-02,4.60000e-01,
-1.6215960e-02,4.60000e-01,
-1.6213959e-02,4.60000e-01,
-1.6211959e-02,4.40000e-01,
-1.6209958e-02,4.40000e-01,
-1.6207958e-02,4.60000e-01,
-1.6205957e-02,4.40000e-01,
-1.6203957e-02,4.40000e-01,
-1.6201956e-02,4.60000e-01,
-1.6199956e-02,4.60000e-01,
-1.6197955e-02,4.60000e-01,
-1.6195955e-02,4.40000e-01,
